
Host: node27

Timers On : Wed Jan 18 18:31:43 2023
Timers Off: Wed Jan 18 19:09:21 2023

Wall Time:     2257.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :    123.017u      0.050s     73.818w     27 calls
Libint2ERI::Libint2ERI              :    627.000u     15.500s    169.560w   1146 calls
DFH: initialize()                   :   9314.367u    200.800s    339.668w     27 calls
DFH: AO Construction                :   2167.333u     28.300s     69.643w     27 calls
DFH: AO-Met. Contraction            :   3789.983u     69.483s    125.088w     27 calls
HF: Form core H                     :    362.517u      8.367s     11.809w     27 calls
HF: Form S/X                        :     87.433u      3.133s      2.870w     27 calls
HF: Guess                           :     36.567u      1.567s      1.215w     27 calls
SAD Guess                           :     34.267u      1.450s      1.141w      4 calls
HF: Form G                          :  16213.200u    407.083s    661.173w    308 calls
JK: D                               :     10.400u      0.317s      0.342w    308 calls
JK: USO2AO                          :      0.883u      0.050s      0.030w    308 calls
JK: JK                              :  16144.667u    404.067s    658.909w    308 calls
DFH: compute_JK()                   :  16132.400u    403.517s    658.500w    308 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.001w    308 calls
DFH: compute_J                      :   1082.883u      2.867s     34.303w    308 calls
DFH: compute_K                      :  13291.267u     79.550s    444.070w    308 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    308 calls
HF: Form F                          :      9.667u      0.283s      0.318w    308 calls
HF: Form D                          :     10.250u      0.333s      0.333w    308 calls
HF: DIIS                            :    394.300u     21.633s     15.111w    304 calls
HF: Form C                          :    758.233u     24.467s     24.723w    304 calls
Grad: V T Perturb                   :    402.733u      6.717s     12.906w     24 calls
Grad: S                             :    108.017u      2.433s      3.469w     24 calls
Grad: JK                            :  16050.317u    419.567s    845.875w     24 calls
JKGrad: Amn                         :   4530.250u    141.617s    301.304w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :   3321.417u     93.700s    113.965w     24 calls
JKGrad: UV                          :   1354.833u     29.400s     55.518w     24 calls
JKGrad: ABx                         :    184.450u      9.733s      6.201w     24 calls
JKGrad: Amnx                        :   6603.617u    141.267s    359.795w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :    123.017u      0.050s     73.818w     27 calls
| Libint2ERI::Libint2ERI            :     84.800u      0.017s     50.890w     27 calls
DFH: initialize()                   :   9314.367u    200.800s    339.668w     27 calls
| Libint2ERI::Libint2ERI            :    157.467u      4.017s     39.043w    567 calls
| DFH: AO Construction              :   2167.333u     28.300s     69.643w     27 calls
| DFH: AO-Met. Contraction          :   3789.983u     69.483s    125.088w     27 calls
HF: Form core H                     :    362.517u      8.367s     11.809w     27 calls
HF: Form S/X                        :     87.433u      3.133s      2.870w     27 calls
HF: Guess                           :     36.567u      1.567s      1.215w     27 calls
| SAD Guess                         :     34.267u      1.450s      1.141w      4 calls
HF: Form G                          :  16213.200u    407.083s    661.173w    308 calls
| JK: D                             :     10.400u      0.317s      0.342w    308 calls
| JK: USO2AO                        :      0.883u      0.050s      0.030w    308 calls
| JK: JK                            :  16144.667u    404.067s    658.909w    308 calls
| | DFH: compute_JK()               :  16132.400u    403.517s    658.500w    308 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.001w    308 calls
| | | DFH: compute_J                :   1082.883u      2.867s     34.303w    308 calls
| | | DFH: compute_K                :  13291.267u     79.550s    444.070w    308 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    308 calls
HF: Form F                          :      9.667u      0.283s      0.318w    308 calls
HF: Form D                          :     10.250u      0.333s      0.333w    308 calls
