
Host: node47

Timers On : Thu Dec 15 14:18:36 2022
Timers Off: Thu Dec 15 14:42:44 2022

Wall Time:     1447.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     17.017u      0.200s     10.372w     18 calls
Libint2ERI::Libint2ERI              :    311.450u      7.450s     27.395w    787 calls
DFH: initialize()                   :   7289.100u    103.617s    231.769w     18 calls
DFH: AO Construction                :   1035.100u     17.717s     31.676w     18 calls
DFH: AO-Met. Contraction            :   3825.283u     45.633s    120.235w     18 calls
HF: Form core H                     :    123.517u      0.817s      3.795w     18 calls
HF: Form S/X                        :     57.800u      1.000s      1.767w     18 calls
HF: Guess                           :     11.433u      0.700s      0.367w     18 calls
SAD Guess                           :     10.300u      0.683s      0.330w      2 calls
HF: Form G                          :  16965.033u    410.400s    640.795w    362 calls
JK: D                               :      9.233u      0.133s      0.280w    362 calls
JK: USO2AO                          :      0.633u      0.017s      0.022w    362 calls
JK: JK                              :  16936.117u    408.950s    639.874w    362 calls
DFH: compute_JK()                   :  16922.500u    408.617s    639.453w    362 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.001w    362 calls
DFH: compute_J                      :   1363.783u     14.883s     41.533w    362 calls
DFH: compute_K                      :  13326.750u     65.050s    402.847w    362 calls
JK: AO2USO                          :      0.167u      0.050s      0.005w    362 calls
HF: Form F                          :     14.267u      0.467s      0.439w    362 calls
HF: Form D                          :     10.550u      0.183s      0.320w    362 calls
HF: DIIS                            :    478.783u     26.217s     15.195w    360 calls
HF: Form C                          :   1084.117u     15.433s     33.071w    360 calls
Grad: V T Perturb                   :    126.533u      0.567s      3.823w     17 calls
Grad: S                             :     33.117u      0.200s      1.002w     17 calls
Grad: JK                            :   8701.867u    244.317s    453.463w     17 calls
JKGrad: Amn                         :   2418.667u     86.183s    151.957w     17 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     17 calls
JKGrad: AB                          :   2821.633u     51.083s     90.234w     17 calls
JKGrad: UV                          :    576.883u     16.000s     25.753w     17 calls
JKGrad: ABx                         :    157.300u      3.300s      4.830w     17 calls
JKGrad: Amnx                        :   2656.717u     82.267s    159.686w     17 calls
Grad: XC                            :      0.000u      0.000s      0.000w     17 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     17.017u      0.200s     10.372w     18 calls
| Libint2ERI::Libint2ERI            :     11.067u      0.200s      6.766w     18 calls
DFH: initialize()                   :   7289.100u    103.617s    231.769w     18 calls
| Libint2ERI::Libint2ERI            :     84.450u      2.067s      7.115w    378 calls
| DFH: AO Construction              :   1035.100u     17.717s     31.676w     18 calls
| DFH: AO-Met. Contraction          :   3825.283u     45.633s    120.235w     18 calls
HF: Form core H                     :    123.517u      0.817s      3.795w     18 calls
HF: Form S/X                        :     57.800u      1.000s      1.767w     18 calls
HF: Guess                           :     11.433u      0.700s      0.367w     18 calls
| SAD Guess                         :     10.300u      0.683s      0.330w      2 calls
HF: Form G                          :  16965.033u    410.400s    640.795w    362 calls
| JK: D                             :      9.233u      0.133s      0.280w    362 calls
| JK: USO2AO                        :      0.633u      0.017s      0.022w    362 calls
| JK: JK                            :  16936.117u    408.950s    639.874w    362 calls
| | DFH: compute_JK()               :  16922.500u    408.617s    639.453w    362 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.001w    362 calls
| | | DFH: compute_J                :   1363.783u     14.883s     41.533w    362 calls
| | | DFH: compute_K                :  13326.750u     65.050s    402.847w    362 calls
| JK: AO2USO                        :      0.167u      0.050s      0.005w    362 calls
HF: Form F                          :     14.267u      0.467s      0.439w    362 calls
HF: Form D                          :     10.550u      0.183s      0.320w    362 calls
HF: DIIS                            :    478.783u     26.217s     15.195w    360 calls
HF: Form C                          :   1084.117u     15.433s     33.071w    360 calls
Grad: V T Perturb                   :    126.533u      0.567s      3.823w     17 calls
Grad: S                             :     33.117u      0.200s      1.002w     17 calls
Grad: JK                            :   8701.867u    244.317s    453.463w     17 calls
| JKGrad: Amn                       :   2418.667u     86.183s    151.957w     17 calls
| | Libint2ERI::Libint2ERI          :    107.650u      2.550s      6.676w     17 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     17 calls
| JKGrad: AB                        :   2821.633u     51.083s     90.234w     17 calls
| | Libint2ERI::Libint2ERI          :      0.283u      0.000s      0.167w    340 calls
| JKGrad: UV                        :    576.883u     16.000s     25.753w     17 calls
| JKGrad: ABx                       :    157.300u      3.300s      4.830w     17 calls
| | Libint2ERI::Libint2ERI          :      0.450u      0.017s      0.014w     17 calls
| JKGrad: Amnx                      :   2656.717u     82.267s    159.686w     17 calls
| | Libint2ERI::Libint2ERI          :    107.550u      2.617s      6.657w     17 calls
Grad: XC                            :      0.000u      0.000s      0.000w     17 calls

**************************************************************************************

Host: node47

Timers On : Thu Dec 15 15:52:44 2022
Timers Off: Thu Dec 15 17:05:47 2022

Wall Time:     4382.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :    164.500u      1.033s     99.578w     51 calls
Libint2ERI::Libint2ERI              :   1232.750u     23.550s    257.489w   2272 calls
DFH: initialize()                   :  20555.817u    287.033s    698.520w     51 calls
DFH: AO Construction                :   4763.683u     55.567s    144.950w     51 calls
DFH: AO-Met. Contraction            :  10812.800u    143.217s    343.282w     51 calls
HF: Form core H                     :    605.183u      3.350s     18.546w     51 calls
HF: Form S/X                        :    193.433u      3.300s      5.920w     51 calls
HF: Guess                           :     14.683u      0.867s      0.469w     51 calls
SAD Guess                           :     11.500u      0.733s      0.367w      2 calls
HF: Form G                          :  42521.050u    927.967s   1567.133w    838 calls
JK: D                               :     25.617u      0.467s      0.779w    838 calls
JK: USO2AO                          :      2.033u      0.083s      0.070w    838 calls
JK: JK                              :  42440.150u    924.767s   1564.600w    838 calls
DFH: compute_JK()                   :  42403.833u    923.683s   1563.477w    838 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.003w    838 calls
DFH: compute_J                      :   3420.750u     31.417s    103.960w    838 calls
DFH: compute_K                      :  33707.533u    138.750s   1018.162w    838 calls
JK: AO2USO                          :      0.283u      0.017s      0.013w    838 calls
HF: Form F                          :     38.767u      1.183s      1.197w    838 calls
HF: Form D                          :     27.950u      0.600s      0.859w    838 calls
HF: DIIS                            :   1286.817u     62.650s     40.618w    836 calls
HF: Form C                          :   2830.217u     43.900s     86.443w    836 calls
Grad: V T Perturb                   :    667.917u      1.833s     20.144w     50 calls
Grad: S                             :    152.817u      0.783s      4.625w     50 calls
Grad: JK                            :  33228.083u    727.700s   1642.144w     50 calls
JKGrad: Amn                         :   9671.267u    271.467s    582.991w     50 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     50 calls
JKGrad: AB                          :   6046.400u    139.833s    194.649w     50 calls
JKGrad: UV                          :   1362.583u     41.583s     61.090w     50 calls
JKGrad: ABx                         :    435.067u      8.567s     13.347w     50 calls
JKGrad: Amnx                        :  15538.567u    252.833s    760.329w     50 calls
Grad: XC                            :      0.017u      0.000s      0.001w     50 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :    164.500u      1.033s     99.578w     51 calls
| Libint2ERI::Libint2ERI            :    106.650u      0.967s     64.734w     51 calls
DFH: initialize()                   :  20555.817u    287.033s    698.520w     51 calls
| Libint2ERI::Libint2ERI            :    338.517u      6.400s     64.984w   1071 calls
| DFH: AO Construction              :   4763.683u     55.567s    144.950w     51 calls
| DFH: AO-Met. Contraction          :  10812.800u    143.217s    343.282w     51 calls
HF: Form core H                     :    605.183u      3.350s     18.546w     51 calls
HF: Form S/X                        :    193.433u      3.300s      5.920w     51 calls
