    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         N           -3.331328635724     0.727681476575    -1.099211445529
         C           -2.075108635724     0.947031476575    -0.643291445529
         C           -1.145108635724    -0.081468523425    -0.417951445529
         C           -3.729438635724    -0.512708523425    -1.279631445529
         N           -2.965588635724    -1.557588523425    -1.105551445529
         C           -1.709248635724    -1.313048523425    -0.703211445529
         C            0.230281364276    -0.409258523425     0.007478554471
         N           -0.752998635724    -2.284218523425    -0.591831445529
         N            0.439921364276    -1.758078523425    -0.151321445529
         CL          -1.807848635724     2.608001476575    -0.464071445529
         N           -5.016358635724    -0.758688523425    -1.708521445529
         C           -0.907258635724    -3.614928523425    -1.232241445529
         C           -2.374108635724    -4.120908523425    -1.420481445529
         H           -2.962618635724    -4.017518523425    -0.499421445529
         H           -2.418468635724    -5.178408523425    -1.706971445529
         H           -2.885528635724    -3.591278523425    -2.232771445529
         C           -0.166668635724    -4.801228523425    -0.612371445529
         H           -0.497598635724    -3.457998523425    -2.238981445529
         H            0.879841364276    -4.592418523425    -0.396051445529
         H           -0.192348635724    -5.640408523425    -1.326621445529
         H           -0.665588635724    -5.157928523425     0.295938554471
         C            1.358641364276     0.498981476575     0.529158554471
         C            1.249331364276     1.907681476575     0.484808554471
         C            2.203921364276     2.823371476575     0.966478554471
         C            3.356621364276     2.316451476575     1.493108554471
         C            3.555231364276     0.936091476575     1.555268554471
         C            2.575301364276     0.026441476575     1.086458554471
         H            0.408221364276     2.378061476575     0.032478554471
         H            2.029401364276     3.893471476575     0.904028554471
         H            2.784011364276    -1.036438523425     1.162678554471
         O            4.549381364276     3.016141476575     2.041888554471
         N            4.817161364276     0.643731476575     2.125778554471
         C            5.371461364276     1.792761476575     2.397928554471
         H           -5.416128635724     0.019821476575    -2.207551445529
         H           -5.095838635724    -1.680228523425    -2.114921445529
         H            6.367461364276     1.916551476575     2.853768554471

