    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         N           -7.897315974063    -0.686114030556     0.262526207113
         C           -6.718165974063     0.140915969444     0.027586207113
         C           -5.442995974063    -0.703744030556     0.089746207113
         H           -6.684275974063     0.928155969444     0.788146207113
         H           -6.806495974063     0.626795969444    -0.950413792887
         H           -8.730315974063    -0.098384030556     0.255736207113
         H           -8.011125974063    -1.349264030556    -0.503013792887
         C           -4.188055974063     0.163385969444    -0.078783792887
         H           -5.468375974063    -1.472474030556    -0.692833792887
         H           -5.396005974063    -1.226194030556     1.053656207113
         C           -2.899155974063    -0.664604030556     0.008836207113
         H           -4.177945974063     0.938315969444     0.697126207113
         H           -4.227125974063     0.676355969444    -1.047453792887
         C           -1.643725974063     0.218845969444    -0.063343792887
         H           -2.883475974063    -1.398074030556    -0.806393792887
         H           -2.890595974063    -1.228264030556     0.949806207113
         C           -0.355385974063    -0.615054030556    -0.042273792887
         H           -1.643815974063     0.916645969444     0.782556207113
         H           -1.671235974063     0.820205969444    -0.979893792887
         C            0.913064025937     0.255225969444    -0.018833792887
         H           -0.336045974063    -1.267764030556    -0.923603792887
         H           -0.358075974063    -1.267504030556     0.839716207113
         C            2.178614025937    -0.607314030556    -0.117133792887
         H            0.933674025937     0.842245969444     0.906976207113
         H            0.892244025937     0.964635969444    -0.854503792887
         C            3.482774025937     0.190145969444     0.056796207113
         H            2.189254025937    -1.116934030556    -1.088433792887
         H            2.141564025937    -1.388554030556     0.652706207113
         C            4.699554025937    -0.713484030556    -0.192473792887
         H            3.519054025937     0.600945969444     1.072476207113
         H            3.502234025937     1.035215969444    -0.640813792887
         C            6.026314025937    -0.215654030556     0.395606207113
         H            4.813154025937    -0.880304030556    -1.270953792887
         H            4.504104025937    -1.697524030556     0.252326207113
         O            5.940454025937     2.167155969444    -0.000643792887
         C            6.646734025937     0.979155969444    -0.316313792887
         H            6.741954025937    -1.045574030556     0.336276207113
         H            5.886494025937     0.014955969444     1.458236207113
         H            7.466644025937     0.930765969444    -0.941163792887

