
Host: node26

Timers On : Thu Jan 19 14:48:47 2023
Timers Off: Thu Jan 19 14:49:09 2023

Wall Time:       22.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.567u      0.017s      0.414w      8 calls
Libint2ERI::Libint2ERI              :     17.467u      1.333s      1.270w    291 calls
DFH: initialize()                   :     47.483u      4.700s      3.469w      8 calls
DFH: AO Construction                :      7.267u      0.300s      0.452w      8 calls
DFH: AO-Met. Contraction            :      3.067u      0.350s      0.196w      8 calls
HF: Form core H                     :      5.883u      0.500s      0.377w      8 calls
HF: Form S/X                        :      1.183u      0.133s      0.078w      8 calls
HF: Guess                           :     20.050u      2.200s      1.524w      8 calls
SAD Guess                           :     19.917u      2.183s      1.512w      4 calls
HF: Form G                          :     15.867u      1.667s      0.968w     76 calls
JK: D                               :      0.967u      0.083s      0.069w     76 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     76 calls
JK: JK                              :     14.283u      1.567s      0.869w     76 calls
DFH: compute_JK()                   :     14.217u      1.533s      0.867w     76 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     76 calls
DFH: compute_J                      :      6.117u      0.533s      0.356w     76 calls
DFH: compute_K                      :      6.067u      0.917s      0.390w     76 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     76 calls
HF: Form F                          :      2.350u      0.217s      0.152w     76 calls
HF: Form D                          :      0.283u      0.017s      0.018w     76 calls
HF: DIIS                            :     18.950u      1.583s      1.187w     72 calls
HF: Form C                          :     11.817u      1.167s      0.726w     72 calls
Grad: V T Perturb                   :      3.833u      0.217s      0.210w      5 calls
Grad: S                             :      1.667u      0.117s      0.093w      5 calls
Grad: JK                            :     52.100u      3.267s      2.967w      5 calls
JKGrad: Amn                         :     17.767u      1.133s      0.972w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :     10.617u      0.867s      0.630w      5 calls
JKGrad: UV                          :      0.517u      0.033s      0.033w      5 calls
JKGrad: ABx                         :      1.417u      0.083s      0.079w      5 calls
JKGrad: Amnx                        :     21.467u      1.133s      1.232w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.567u      0.017s      0.414w      8 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.017s      0.256w      8 calls
DFH: initialize()                   :     47.483u      4.700s      3.469w      8 calls
| Libint2ERI::Libint2ERI            :      6.467u      0.533s      0.423w    168 calls
| DFH: AO Construction              :      7.267u      0.300s      0.452w      8 calls
| DFH: AO-Met. Contraction          :      3.067u      0.350s      0.196w      8 calls
HF: Form core H                     :      5.883u      0.500s      0.377w      8 calls
HF: Form S/X                        :      1.183u      0.133s      0.078w      8 calls
HF: Guess                           :     20.050u      2.200s      1.524w      8 calls
| SAD Guess                         :     19.917u      2.183s      1.512w      4 calls
HF: Form G                          :     15.867u      1.667s      0.968w     76 calls
| JK: D                             :      0.967u      0.083s      0.069w     76 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     76 calls
| JK: JK                            :     14.283u      1.567s      0.869w     76 calls
| | DFH: compute_JK()               :     14.217u      1.533s      0.867w     76 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     76 calls
| | | DFH: compute_J                :      6.117u      0.533s      0.356w     76 calls
| | | DFH: compute_K                :      6.067u      0.917s      0.390w     76 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     76 calls
HF: Form F                          :      2.350u      0.217s      0.152w     76 calls
HF: Form D                          :      0.283u      0.017s      0.018w     76 calls
HF: DIIS                            :     18.950u      1.583s      1.187w     72 calls
HF: Form C                          :     11.817u      1.167s      0.726w     72 calls
Grad: V T Perturb                   :      3.833u      0.217s      0.210w      5 calls
Grad: S                             :      1.667u      0.117s      0.093w      5 calls
Grad: JK                            :     52.100u      3.267s      2.967w      5 calls
| JKGrad: Amn                       :     17.767u      1.133s      0.972w      5 calls
| | Libint2ERI::Libint2ERI          :      5.317u      0.400s      0.284w      5 calls
