
Host: node22

Timers On : Tue Jan 17 10:36:07 2023
Timers Off: Tue Jan 17 10:52:44 2023

Wall Time:      997.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     80.783u      0.067s     48.453w     39 calls
Libint2ERI::Libint2ERI              :    754.933u     23.933s    117.238w   1686 calls
DFH: initialize()                   :   4371.650u    110.300s    163.290w     39 calls
DFH: AO Construction                :   1200.350u     18.317s     39.281w     39 calls
DFH: AO-Met. Contraction            :   1244.050u     31.583s     40.421w     39 calls
HF: Form core H                     :    210.750u      4.083s      7.160w     39 calls
HF: Form S/X                        :     46.050u      1.333s      1.493w     39 calls
HF: Guess                           :     24.583u      1.017s      0.806w     39 calls
SAD Guess                           :     23.267u      0.967s      0.764w      4 calls
HF: Form G                          :   6783.133u    267.650s    222.282w    496 calls
JK: D                               :      7.833u      0.417s      0.246w    496 calls
JK: USO2AO                          :      0.383u      0.033s      0.016w    496 calls
JK: JK                              :   6743.500u    265.983s    220.993w    496 calls
DFH: compute_JK()                   :   6735.133u    265.517s    220.710w    496 calls
DFH: Grabbing AOs                   :      0.083u      0.000s      0.001w    496 calls
DFH: compute_J                      :    604.600u      2.583s     19.091w    496 calls
DFH: compute_K                      :   4052.733u     81.333s    129.995w    496 calls
JK: AO2USO                          :      0.033u      0.000s      0.001w    496 calls
HF: Form F                          :      8.600u      0.383s      0.278w    496 calls
HF: Form D                          :      7.317u      0.350s      0.241w    496 calls
HF: DIIS                            :    302.383u     15.217s     10.005w    492 calls
HF: Form C                          :    532.750u     16.933s     17.291w    492 calls
Grad: V T Perturb                   :    216.167u      3.633s      6.918w     36 calls
Grad: S                             :     73.200u      1.633s      2.359w     36 calls
Grad: JK                            :   8193.800u    195.450s    398.602w     36 calls
JKGrad: Amn                         :   2534.667u     63.150s    148.923w     36 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     36 calls
JKGrad: AB                          :   1539.617u     50.817s     50.094w     36 calls
JKGrad: UV                          :    336.233u     17.983s     11.196w     36 calls
JKGrad: ABx                         :    116.400u      2.167s      3.730w     36 calls
JKGrad: Amnx                        :   3634.617u     58.533s    183.546w     36 calls
Grad: XC                            :      0.000u      0.000s      0.000w     36 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     80.783u      0.067s     48.453w     39 calls
| Libint2ERI::Libint2ERI            :     54.317u      0.067s     32.569w     39 calls
DFH: initialize()                   :   4371.650u    110.300s    163.290w     39 calls
| Libint2ERI::Libint2ERI            :    221.850u      7.567s     27.582w    819 calls
| DFH: AO Construction              :   1200.350u     18.317s     39.281w     39 calls
| DFH: AO-Met. Contraction          :   1244.050u     31.583s     40.421w     39 calls
HF: Form core H                     :    210.750u      4.083s      7.160w     39 calls
HF: Form S/X                        :     46.050u      1.333s      1.493w     39 calls
HF: Guess                           :     24.583u      1.017s      0.806w     39 calls
| SAD Guess                         :     23.267u      0.967s      0.764w      4 calls
HF: Form G                          :   6783.133u    267.650s    222.282w    496 calls
| JK: D                             :      7.833u      0.417s      0.246w    496 calls
| JK: USO2AO                        :      0.383u      0.033s      0.016w    496 calls
| JK: JK                            :   6743.500u    265.983s    220.993w    496 calls
| | DFH: compute_JK()               :   6735.133u    265.517s    220.710w    496 calls
| | | DFH: Grabbing AOs             :      0.083u      0.000s      0.001w    496 calls
| | | DFH: compute_J                :    604.600u      2.583s     19.091w    496 calls
| | | DFH: compute_K                :   4052.733u     81.333s    129.995w    496 calls
| JK: AO2USO                        :      0.033u      0.000s      0.001w    496 calls
HF: Form F                          :      8.600u      0.383s      0.278w    496 calls
HF: Form D                          :      7.317u      0.350s      0.241w    496 calls
HF: DIIS                            :    302.383u     15.217s     10.005w    492 calls
HF: Form C                          :    532.750u     16.933s     17.291w    492 calls
Grad: V T Perturb                   :    216.167u      3.633s      6.918w     36 calls
Grad: S                             :     73.200u      1.633s      2.359w     36 calls
Grad: JK                            :   8193.800u    195.450s    398.602w     36 calls
| JKGrad: Amn                       :   2534.667u     63.150s    148.923w     36 calls
| | Libint2ERI::Libint2ERI          :    234.600u      7.800s     28.513w     36 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     36 calls
| JKGrad: AB                        :   1539.617u     50.817s     50.094w     36 calls
| | Libint2ERI::Libint2ERI          :      8.883u      0.417s      0.302w    720 calls
| JKGrad: UV                        :    336.233u     17.983s     11.196w     36 calls
| JKGrad: ABx                       :    116.400u      2.167s      3.730w     36 calls
| | Libint2ERI::Libint2ERI          :      0.450u      0.050s      0.017w     36 calls
