    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         H            5.645408965879    -4.747194366501    -0.008094496460
         C            5.804508965879    -3.736194366501     0.359805503540
         C            5.344808965879    -2.648594366501    -0.379894496460
         H            4.826708965879    -2.824794366501    -1.318994496460
         C            5.545008965879    -1.345194366501     0.081505503540
         S            4.941108965879     0.035105633499    -0.847594496460
         C            6.202908965879    -1.144894366501     1.297805503540
         H            6.359208965879    -0.138394366501     1.677305503540
         C            6.663608965879    -2.231894366501     2.038305503540
         H            7.175408965879    -2.061394366501     2.982405503540
         C            6.465008965879    -3.529294366501     1.568905503540
         O            6.908908965879    -4.597894366501     2.287905503540
         O            5.692208965879     1.189605633499    -0.437994496460
         O            4.824208965879    -0.389394366501    -2.215394496460
         H            3.877408965879     1.565505633499     1.375305503540
         C            3.059208965879     1.032405633499     0.898105503540
         C            1.770008965879     1.163605633499     1.409705503540
         H            1.591608965879     1.795505633499     2.276305503540
         C            0.709008965879     0.488705633499     0.811405503540
         O           -0.553291034121     0.621305633499     1.353305503540
         H            2.404908965879    -1.120294366501    -1.651494496460
         C            2.234308965879    -0.470194366501    -0.797294496460
         C            3.299008965879     0.220605633499    -0.213294496460
         H           -2.818291034121    -0.470494366501     2.074905503540
         H           -4.931091034121    -0.398694366501     0.818605503540
         C           -2.860891034121     0.052505633499     1.122705503540
         C           -4.055191034121     0.097805633499     0.407605503540
         C           -1.721391034121     0.669705633499     0.617605503540
         C           -4.138891034121     0.772505633499    -0.817494496460
         C           -5.485891034121     0.788605633499    -1.568194496460
         C           -1.787991034121     1.351905633499    -0.596994496460
         C           -2.983891034121     1.397705633499    -1.311094496460
         H           -0.909591034121     1.855905633499    -0.991994496460
         H           -2.990691034121     1.933405633499    -2.254894496460
         C            0.944308965879    -0.339794366501    -0.287394496460
         H            0.127608965879    -0.892194366501    -0.745294496460
         H            7.355408965879    -4.295794366501     3.099505503540
         C           -5.706391034121    -0.636894366501    -2.141194496460
         C           -5.506691034121     1.758105633499    -2.780094496460
         H           -6.603191034121    -0.681994366501    -2.763894496460
         H           -5.805691034121    -1.373394366501    -1.340194496460
         H           -4.858191034121    -0.934494366501    -2.762894496460
         H           -4.796491034121     1.448505633499    -3.550694496460
         H           -5.260891034121     2.777905633499    -2.474294496460
         H           -6.499791034121     1.778705633499    -3.235994496460
         H           -5.502491034121     2.993005633499     0.030805503540
         C           -6.419591034121     2.417905633499     0.135905503540
         C           -7.399491034121     2.870505633499     1.016605503540
         H           -7.238891034121     3.783405633499     1.585005503540
         C           -8.583391034121     2.156105633499     1.168405503540
         H           -9.349491034121     2.508305633499     1.855005503540
         C           -8.784291034121     0.990605633499     0.435405503540
         H           -9.710291034121     0.432305633499     0.549405503540
         C           -7.803991034121     0.536905633499    -0.445594496460
         H           -8.002891034121    -0.374094366501    -1.001194496460
         C           -6.601291034121     1.242105633499    -0.604594496460

