
Host: node22

Timers On : Tue Jan 17 11:09:40 2023
Timers Off: Tue Jan 17 11:09:51 2023

Wall Time:       11.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.167u      0.017s      0.246w      9 calls
Libint2ERI::Libint2ERI              :     13.967u      0.633s      0.608w    336 calls
DFH: initialize()                   :     20.250u      1.617s      0.766w      9 calls
DFH: AO Construction                :      4.067u      0.167s      0.132w      9 calls
DFH: AO-Met. Contraction            :      1.333u      0.033s      0.044w      9 calls
HF: Form core H                     :      4.800u      0.183s      0.158w      9 calls
HF: Form S/X                        :      0.467u      0.000s      0.016w      9 calls
HF: Guess                           :     20.183u      1.083s      0.679w      9 calls
SAD Guess                           :     19.800u      1.083s      0.665w      4 calls
HF: Form G                          :      9.767u      0.217s      0.315w     88 calls
JK: D                               :      0.133u      0.000s      0.004w     88 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     88 calls
JK: JK                              :      9.450u      0.217s      0.304w     88 calls
DFH: compute_JK()                   :      9.400u      0.217s      0.303w     88 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     88 calls
DFH: compute_J                      :      1.133u      0.033s      0.034w     88 calls
DFH: compute_K                      :      6.650u      0.167s      0.220w     88 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     88 calls
HF: Form F                          :      0.683u      0.000s      0.022w     88 calls
HF: Form D                          :      0.100u      0.017s      0.004w     88 calls
HF: DIIS                            :     15.250u      0.833s      0.507w     84 calls
HF: Form C                          :      6.033u      0.267s      0.195w     84 calls
Grad: V T Perturb                   :      4.417u      0.167s      0.144w      6 calls
Grad: S                             :      1.917u      0.083s      0.063w      6 calls
Grad: JK                            :     41.983u      1.683s      1.379w      6 calls
JKGrad: Amn                         :     15.183u      0.650s      0.500w      6 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      6 calls
JKGrad: AB                          :      8.017u      0.350s      0.264w      6 calls
JKGrad: UV                          :      0.317u      0.017s      0.011w      6 calls
JKGrad: ABx                         :      1.417u      0.067s      0.047w      6 calls
JKGrad: Amnx                        :     15.700u      0.533s      0.512w      6 calls
Grad: XC                            :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.167u      0.017s      0.246w      9 calls
| Libint2ERI::Libint2ERI            :      0.783u      0.000s      0.159w      9 calls
DFH: initialize()                   :     20.250u      1.617s      0.766w      9 calls
| Libint2ERI::Libint2ERI            :      4.100u      0.217s      0.151w    189 calls
| DFH: AO Construction              :      4.067u      0.167s      0.132w      9 calls
| DFH: AO-Met. Contraction          :      1.333u      0.033s      0.044w      9 calls
HF: Form core H                     :      4.800u      0.183s      0.158w      9 calls
HF: Form S/X                        :      0.467u      0.000s      0.016w      9 calls
HF: Guess                           :     20.183u      1.083s      0.679w      9 calls
| SAD Guess                         :     19.800u      1.083s      0.665w      4 calls
HF: Form G                          :      9.767u      0.217s      0.315w     88 calls
| JK: D                             :      0.133u      0.000s      0.004w     88 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w     88 calls
| JK: JK                            :      9.450u      0.217s      0.304w     88 calls
| | DFH: compute_JK()               :      9.400u      0.217s      0.303w     88 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     88 calls
| | | DFH: compute_J                :      1.133u      0.033s      0.034w     88 calls
| | | DFH: compute_K                :      6.650u      0.167s      0.220w     88 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     88 calls
HF: Form F                          :      0.683u      0.000s      0.022w     88 calls
HF: Form D                          :      0.100u      0.017s      0.004w     88 calls
HF: DIIS                            :     15.250u      0.833s      0.507w     84 calls
HF: Form C                          :      6.033u      0.267s      0.195w     84 calls
Grad: V T Perturb                   :      4.417u      0.167s      0.144w      6 calls
Grad: S                             :      1.917u      0.083s      0.063w      6 calls
Grad: JK                            :     41.983u      1.683s      1.379w      6 calls
